track_id;track_name;duration_ms;album_name;album_type;artist_name;track_popularity;explicit;artist_genres;album_genres;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechness;tempo;time_signature;valence;played_at;date;datetime
1175r6ZmkUjX8dRJLz9Ohk;I Love You So;160254;Songs for Dads;album;The Walters;67;FALSE;chicago indie, indie garage rock, indie psych-rock;;0.650000;0.578;0.669;0.000000;10;0.1300;-4.898;1;0.0377;75.995;4;0.503;2018-07-03T01:12:04.186Z;03/07/18;01:12:04
14KKXLz5WHrzGOMUNFV22H;Voglio ballare con te;163802;Voglio ballare con te;single;Baby K;67;FALSE;italian arena pop, italian hip hop;;0.087100;0.756;0.670;0.000000;10;0.1690;-5.296;1;0.0828;94.004;4;0.674;2018-07-03T01:12:52.611Z;03/07/18;01:12:52
6nJPHXRpKYv2yqtalEjKy5;Got the Life;225307;Follow The Leader;album;Korn;68;TRUE;alternative metal, funk metal, nu metal, post-grunge, rap metal, rap rock, rock;;0.000019;0.501;0.905;0.765000;11;0.3830;-5.721;0;0.0518;123.277;4;0.584;2018-07-03T01:14:12.047Z;03/07/18;01:14:12
6D2tOVX5MMl8jNVkwsFaWg;Let's Get It Started;146813;Chosen;album;M̴neskin;50;FALSE;italian alternative, italian arena pop;;0.167000;0.831;0.760;0.000000;6;0.0871;-4.184;1;0.0807;113.969;4;0.865;2018-06-27T01:14:32.646Z;27/06/18;01:14:32
2rUIF231FaopnC0HWylo04;Ali sporche;226507;Ali sporche;single;Coez;31;FALSE;italian hip hop;;0.609000;0.637;0.519;0.000000;0;0.1120;-6.968;1;0.0395;128.081;4;0.488;2018-07-03T01:15:18.938Z;03/07/18;01:15:18
14KKXLz5WHrzGOMUNFV22H;Voglio ballare con te;163802;Voglio ballare con te;single;Baby K;67;FALSE;italian arena pop, italian hip hop;;0.087100;0.756;0.670;0.000000;10;0.1690;-5.296;1;0.0828;94.004;4;0.674;2018-07-03T01:16:21.649Z;03/07/18;01:16:21
1dbkagpr2xin2caRwm4PoQ;Reverse Pads;214167;The High Lands of Tibet;single;La-Mu;61;FALSE;;;0.974000;0.152;0.006;0.928000;0;0.1080;-38.332;0;0.0446;136.708;1;0.037;2018-06-27T01:16:44.092Z;27/06/18;01:16:44
45vuHzBLsQMveqJNn3oEuA;Serene Solitude;134516;Partly Cloudy;album;Silver Maple;57;FALSE;focus;;0.988000;0.280;0.095;0.991000;9;0.1190;-16.643;1;0.0307;81.358;5;0.044;2018-06-27T01:17:20.036Z;27/06/18;01:17:20
1Nuqm2gavvcmZtEFWvbDbK;When I'm Gone;260507;Away From The Sun;album;3 Doors Down;63;FALSE;alternative metal, nu metal, pop punk, pop rock, post-grunge, rap metal;;0.004460;0.455;0.764;0.000000;2;0.1050;-5.633;1;0.0327;74.021;4;0.359;2018-07-03T01:19:04.637Z;03/07/18;01:19:04
15LgmMWKJCaITgsAcvyAzc;Mi Hai Fatto Fare Tardi;191372;Mi Hai Fatto Fare Tardi;single;Nina Zilli;42;FALSE;;;0.09530000;0.69000000;0.82000000;0.00000000;6;0.13100000;-3.116;0;0.07330000;166.015;4;0.78800000;2018-06-01T04:24:21.492Z;01/06/18;04:24:21
