5xqi4X6J5PHwndSJc7YLYH;New Disease;194733;The Height of Callousness;album;Spineshank;54;TRUE;alternative metal, groove metal, industrial metal, industrial rock, melodic metalcore, nu metal, post-grunge, rap metal, rap rock;;0.000058;0.566;0.909;0.000254;7;0.0981;-4.184;1;0.0637;121.966;4;0.275;2018-06-29T16:36:04.548Z;29/06/18;16:36:04
5hn1VvnTKDUne8wGB4UfXB;Lost On You;195579;Lost On You;single;Lewis Capaldi;63;FALSE;indie anthem-folk;;0.895000;0.553;0.268;0.000000;10;0.0994;-9.184;1;0.0705;123.955;4;0.431;2018-07-07T16:36:22.974Z;07/07/18;16:36:22
2QjxTQAOtgiTJSO83VjJcv;Dinner For Two;167211;Dinner For Two;single;Allysa Nelson;61;FALSE;focus;;0.995000;0.655;0.033;0.962000;1;0.1040;-23.902;1;0.0450;70.009;3;0.310;2018-07-08T16:36:51.901Z;08/07/18;16:36:51
5c6pR0bXd5nZBV5yeSkVDD;Il cielo guarda te - Acoustic version;215323;Il cielo guarda te (Acoustic version);single;Fred De Palma;52;FALSE;;;0.79200000;0.64400000;0.50600000;0.00001560;7;0.12200000;-7.203;1;0.03100000;123.933;4;0.20700000;2018-05-30T16:37:15.929Z;30/05/18;16:37:15
3ip0BsC1XPBNtmAUQRpIX5;Letting You Go;223655;Letting You Go;single;Bullet For My Valentine;66;FALSE;alternative metal, nu metal, pop punk, post-grunge, rap metal, rap rock, screamo;;0.008770;0.459;0.903;0.000000;5;0.1680;-4.649;0;0.0673;76.185;4;0.364;2018-07-07T16:37:41.932Z;07/07/18;16:37:41
2ZQo43TnA0XBUvPHSUfe2F;Looking Down The Barrel Of Today;161627;The Concrete Confessional;album;Hatebreed;60;TRUE;alternative metal, groove metal, hardcore, industrial metal, melodic metalcore, metalcore, nu metal, rap metal, rap rock;;0.000651;0.487;0.987;0.050600;1;0.2840;-4.71;1;0.0812;180.065;4;0.499;2018-06-29T16:39:19.711Z;29/06/18;16:39:19
3ZTR2BOodN0ypyRsY0K6pe;Miracle;194444;Miracle;album;August D. Valentine;55;FALSE;;;0.988000;0.235;0.015;0.895000;0;0.1030;-25.574;0;0.0414;68.795;3;0.051;2018-07-08T16:39:38.411Z;08/07/18;16:39:38
3z5eL4hQXaBWxSWZUTwI4e;Ti ho voluto bene veramente;169520;Le cose che non ho;album;Marco Mengoni;57;FALSE;;;0.03450000;0.40800000;0.65100000;0.00000000;4;0.22100000;-5.208;1;0.06000000;115.647;4;0.22600000;2018-05-30T16:40:51.964Z;30/05/18;16:40:51
7BpxYgVyRqa2UIDHX05JG6;KILL YOUR CONSCIENCE;232333;ATTENTION ATTENTION;album;Shinedown;60;FALSE;alternative metal, nu metal, post-grunge, rap metal, rap rock;;0.013900;0.712;0.852;0.000000;6;0.6260;-3.03;0;0.0555;128.009;4;0.621;2018-06-29T16:42:01.844Z;29/06/18;16:42:01
56NK3qz0SQs6f14P8JulGS;Carousel #3;263800;The Houseboat and the Moon;album;Federico Albanese;58;FALSE;compositional ambient, focus;;0.964000;0.274;0.042;0.923000;7;0.0805;-27.13;0;0.0414;120.902;4;0.039;2018-07-08T16:42:53.366Z;08/07/18;16:42:53
6T7auXdjnEFnifaWc796YQ;Favorisca i sentimenti;126093;Comunisti col Rolex (Multiplatinum Edition);album;J-AX;62;FALSE;;;0.24600000;0.60500000;0.61000000;0.00000000;0;0.09140000;-8.974;1;0.08440000;79.822;4;0.26500000;2018-05-30T16:43:42.056Z;30/05/18;16:43:42
0DkmhHO4yyqCJFjosmmWPU;Almost Easy;234093;Avenged Sevenfold;album;Avenged Sevenfold;60;FALSE;alternative metal, nu metal, post-grunge;;0.000036;0.378;0.959;0.000138;6;0.1020;-4.615;1;0.0620;174.932;4;0.338;2018-06-29T16:45:54.714Z;29/06/18;16:45:54
7hRM2EHbeVZl4fPSK2XxOO;Bye Bye;176400;Bye Bye;album;Annalisa;61;FALSE;;;0.01150000;0.64000000;0.58000000;0.00000000;9;0.09380000;-6.211;0;0.03570000;123.04;4;0.19200000;2018-05-30T16:45:55.308Z;30/05/18;16:45:55
5XLYYjAZD77nb68Pt3FnjD;MaracanÌ£;215369;MaracanÌ£;single;Emis Killa;58;FALSE;italian hip hop;;0.085900;0.643;0.897;0.000000;6;0.1320;-5.299;0;0.1490;135.082;4;0.435;2018-07-08T16:47:03.103Z;08/07/18;16:47:03
1lg8aKoLJjMRLiR8DrefMB;La Mia Parte Intollerante;262853;Habemus Capa;album;Caparezza;48;FALSE;italian arena pop, italian hip hop, italian pop;;0.105000;0.895;0.755;0.000000;0;0.0619;-5.014;1;0.1370;114.991;4;0.612;2018-07-08T16:48:46.304Z;08/07/18;16:48:46
4VSrTlLWl6jmNHnfa7vWtG;L'eternitÌÊ (Il mio quartiere);226660;L'eternitÌÊ (Il mio quartiere);single;Fabrizio Moro;62;FALSE;;;0.25500000;0.53400000;0.71000000;0.00000000;0;0.12400000;-6.063;1;0.03440000;79.874;4;0.19900000;2018-05-30T16:49:13.700Z;30/05/18;16:49:13
0INUE1K7cEiE8VH63Rv5RJ;Happy?;216427;Lost and Found;album;Mudvayne;69;TRUE;alternative metal, groove metal, industrial metal, industrial rock, melodic metalcore, nu metal, post-grunge, rap metal, rap rock;;0.000823;0.546;0.971;0.000021;5;0.2750;-2.661;0;0.0965;100.078;4;0.383;2018-06-29T16:49:49.281Z;29/06/18;16:49:49
3atDsUhlUgDlQQrI0XFh7I;Cara Italia;244324;Cara Italia;single;Ghali;72;TRUE;;;0.53800000;0.78000000;0.70900000;0.00036200;6;0.11200000;-7.059;0;0.08360000;111.038;4;0.71100000;2018-05-30T16:49:53.037Z;30/05/18;16:49:53
79gRdjKmqKS3oxrVartZbo;Save Me;228557;Save Me;single;Kadebostany;0;FALSE;;;0.28100000;0.62900000;0.45900000;0.00030300;9;0.28500000;-10.069;0;0.02880000;114.986;4;0.55900000;2018-06-01T16:50:37.921Z;01/06/18;16:50:37
1SgwA12Er401xP3Uf7rKJ2;Direzione la vita;209528;Direzione la vita;single;Annalisa;56;FALSE;italian arena pop, italian pop;;0.089600;0.643;0.698;0.000000;2;0.0766;-4.647;0;0.1030;172.077;4;0.400;2018-07-08T16:51:03.752Z;08/07/18;16:51:03
5xyExId5XWZplBvjmbIuy6;El Party;211418;El Party;single;Jake La Furia;67;FALSE;;;0.00429000;0.67800000;0.81000000;0.00000000;6;0.05970000;-5.756;0;0.03420000;123.989;4;0.57000000;2018-05-30T16:51:26.120Z;30/05/18;16:51:26
2QiqwOVUctPRVggO9G1Zs5;Wake Up - Remastered;363853;Rage Against The Machine - XX (20th Anniversary Special Edition);album;Rage Against The Machine;62;FALSE;alternative metal, alternative rock, funk metal, hard rock, nu metal, post-grunge, rap metal, rock;;0.005630;0.411;0.893;0.009670;7;0.1490;-3.646;1;0.1390;170.407;4;0.513;2018-06-29T16:53:26.016Z;29/06/18;16:53:26
4WzsUYhp9TEGui1IWu5lxQ;Most People;214930;Most People;single;LeyeT;0;FALSE;;;0.23600000;0.77700000;0.68300000;0.00102000;1;0.08600000;-6.566;0;0.08620000;93.98;4;0.38600000;2018-06-01T16:54:25.950Z;01/06/18;16:54:25
1bLOcaLu5BxFcF6CHYaaba;Run The World;176127;Time;album;CAZZETTE;47;FALSE;big room, complextro, edm, electro house, house, pop, progressive electro house, progressive house, tropical house;;0.005420;0.685;0.617;0.185000;8;0.1330;-8.281;1;0.0373;124.92;4;0.189;2018-07-08T16:54:37.437Z;08/07/18;16:54:37
0t7szxjCNe2CCnlmIihHwS;Luanne;207493;4 [Expanded];album;Foreigner;40;FALSE;album rock, classic rock, hard rock, mellow gold, rock, soft rock;;0.002950;0.600;0.869;0.000000;2;0.1200;-5.362;1;0.0411;141.133;4;0.784;2018-07-08T16:56:51.409Z;08/07/18;16:56:51
2S5H2pKuM6lgLC00VVKCZD;Portami con te;181316;Portami con te;single;Boomdabash;63;FALSE;;;0.03910000;0.69200000;0.71700000;0.00000000;0;0.09470000;-5.5;1;0.07130000;96.259;4;0.61600000;2018-05-30T16:57:10.074Z;30/05/18;16:57:10
6ClEErrTmd3GzRqGiCEC8G;Leave (Get Out) - Recorded at Metropolis Studios, London;195920;Spotify Singles;single;Anne-Marie;42;FALSE;;;0.85300000;0.48400000;0.38100000;0.00000000;2;0.11900000;-6.815;0;0.05410000;169.506;4;0.64400000;2018-06-01T16:58:00.904Z;01/06/18;16:58:00
2F6FfZ4w8z3eJpSxPotVO5;Falling Away from Me;270920;Issues;album;Korn;71;TRUE;alternative metal, funk metal, nu metal, post-grunge, rap metal, rap rock, rock;;0.000140;0.468;0.769;0.001240;4;0.2710;-7.036;1;0.0410;104.102;4;0.170;2018-06-29T16:59:30.349Z;29/06/18;16:59:30
2Hg2uP2Udt0PIEZiPbfV26;Ipernova;177867;Ipernova;single;Mr.Rain;69;FALSE;;;0.19500000;0.54700000;0.63800000;0.00000000;1;0.10700000;-8.318;1;0.04910000;100.655;4;0.56900000;2018-05-30T17:00:11.931Z;30/05/18;17:00:11
2ttUbhePgGQQKAe5vxQVG4;Tranqi Funky;203027;CosÌÂ Com' Ì¬;album;Articolo 31;51;FALSE;italian arena pop, italian hip hop, italian pop;;0.266000;0.850;0.942;0.000003;5;0.3420;-4.738;0;0.0784;107.818;4;0.902;2018-07-08T17:00:19.426Z;08/07/18;17:00:19
2kVHAQKVtczchKctctzbtK;Swish Swish;242510;Witness;album;Katy Perry;77;TRUE;;;0.01960000;0.83600000;0.71600000;0.00001830;5;0.10100000;-5.211;0;0.05490000;119.938;4;0.53400000;2018-05-30T17:01:51.575Z;30/05/18;17:01:51
2rC9oaV3lthiRcokhTeuo9;Car Crash;170907;Human;album;Three Days Grace;51;FALSE;alternative metal, canadian metal, canadian rock, nu metal, pop punk, post-grunge, rap metal;;0.165000;0.548;0.913;0.000000;6;0.2790;-4.561;0;0.0768;146.047;4;0.155;2018-06-29T17:04:01.844Z;29/06/18;17:04:01
5iwvoI2MM2tOrdUhNjcsqf;No Roots;235813;No Roots;single;Alice Merton;66;FALSE;;;0.264000;0.863;0.657;0.006190;7;0.0713;-7.295;1;0.1050;115.958;4;0.829;2018-07-08T17:04:22.992Z;08/07/18;17:04:22
